""
epoch,train_loss,train_acc,test_loss,test_acc
1,4.054507019580939,0.08906,3.638814959770594,0.15399999916553497
2,3.314343097882393,0.19626,3.161043167114258,0.2298000007867813
3,3.024808960694533,0.25,3.014373100720919,0.26260000467300415
4,2.86160930120028,0.28306,2.845877155279502,0.2964000105857849
5,2.7312226448303614,0.31062,2.7129356402617235,0.32749998569488525
6,2.627635820095356,0.33042,2.68282259733249,0.3276999890804291
7,2.5605367574936304,0.34232,2.607753316561381,0.34139999747276306
8,2.509464640495105,0.35322,2.5688762909326797,0.3488999903202057
9,2.4677936208553803,0.35984,2.5776805602587185,0.34709998965263367
10,2.4376683644759347,0.36834,2.588018854459127,0.3492000102996826
11,2.4007684979683312,0.37542,2.670118380815555,0.33169999718666077
12,2.3615277042755713,0.38286,2.578130156565935,0.35589998960494995
13,2.3392103656744347,0.38402,2.486012788919302,0.3635999858379364
14,2.3046037949048555,0.39284,2.418278321241721,0.38019999861717224
15,2.2803910420491147,0.39902,2.399967094262441,0.38029998540878296
16,2.2477379685793166,0.40902,2.3330598381849437,0.3982999920845032
17,2.2285228814834204,0.41008,2.353437549028641,0.3889999985694885
18,2.2054193732066034,0.415,2.472838579080044,0.37439998984336853
19,2.1820105509880263,0.42128,2.290090100887494,0.4034999907016754
20,2.1590916379904135,0.42536,2.2962649388191028,0.4092000126838684
21,2.1476077938691165,0.4296,2.2836129650091515,0.4092000126838684
22,2.1357610708627943,0.4299,2.294118713109921,0.4018000066280365
23,2.1220057074840253,0.4335,2.2115476987300773,0.42149999737739563
24,2.1034374735294246,0.43698,2.2539811531702676,0.4092000126838684
25,2.089090615663773,0.43978,2.2699767519266176,0.4081999957561493
26,2.0820756817475345,0.4429,2.324565520653358,0.40549999475479126
27,2.072587006825667,0.44526,2.1862949423300915,0.4278999865055084
28,2.0634512638434384,0.44716,2.269054169838245,0.41359999775886536
29,2.0517864551299656,0.44706,2.2321628653086147,0.42160001397132874
30,2.041486664307423,0.45152,2.23311897730216,0.4115999937057495
31,2.034513198106717,0.44976,2.250948980832711,0.420199990272522
32,2.0293691577055517,0.45492,2.316698098794008,0.3968999981880188
33,2.0161405496108227,0.45842,2.2329096977527323,0.4189999997615814
34,2.015919603445591,0.45732,2.257048174356803,0.41130000352859497
35,2.0048805707540267,0.46016,2.173566092283298,0.42879998683929443
